Facility,Date,Year,Wx,Vol,Eqpt,Rwy,Other,Other,Other,Total
CLT,2021-06-01,2021,7,6,0,0,0,0,1,14
CLT,2021-07-01,2021,8,1,0,0,0,0,4,13
CLT,2021-08-01,2021,20,4,0,2,2,1,2,31
CLT,2021-09-01,2021,8,1,0,2,0,0,0,11
CLT,2021-10-01,2021,9,1,0,0,2,0,4,16
CLT,2021-11-01,2021,0,0,0,0,0,0,0,0
CLT,2021-12-01,2021,0,1,0,0,0,0,1,2
CLT,2022-01-01,2022,2,3,0,0,1,0,4,10
CLT,2022-02-01,2022,3,1,0,0,0,0,0,4
CLT,2022-03-01,2022,12,5,0,0,0,6,0,23
CLT,2022-04-01,2022,23,2,0,0,0,15,15,55
CLT,2022-05-01,2022,22,4,0,0,0,0,7,33
CLT,2022-06-01,2022,33,13,0,0,4,6,10,66
CLT,2022-07-01,2022,22,6,0,0,0,2,5,35
CLT,2022-08-01,2022,18,3,0,0,6,2,2,31
CLT,2022-09-01,2022,2,1,0,0,0,0,1,4
CLT,2022-10-01,2022,0,0,0,0,0,0,0,0
CLT,2022-11-01,2022,4,1,0,0,0,0,0,5
CLT,2022-12-01,2022,2,1,0,0,0,0,2,5
CLT,2023-01-01,2023,0,2,30,0,0,4,5,41
CLT,2023-02-01,2023,0,0,0,0,0,0,0,0
CLT,2023-03-01,2023,1,2,0,0,0,0,0,3
